NaceCode,Classification,Description,CompanyCount
82990,MAIN,,579233
70200,MAIN,,255865
82990,SECO,,249791
70220,MAIN,,243670
85599,MAIN,,243452
68201,MAIN,,210957
43211,MAIN,,191092
43320,MAIN,,179410
68203,MAIN,,159366
81300,MAIN,,154919
